# mesh name: boxMesh_1
# primitive scorer name: trackLength
# iX, iY, iZ, total(value) [mm], total(val^2), entry
0,0,0,0,0,0
0,0,1,6.740232410669757,45.43073294984304,1
0,0,2,9.209246424143823,56.39845967766526,2
0,0,3,11.67467092170768,59.98793444751986,3
0,0,4,12.52605651222961,79.20449388018326,2
0,0,5,4.519655560751388,12.01156721218529,2
0,0,6,9.786943166648381,48.19695995073853,2
0,0,7,4.178357605097927,11.85026279781538,2
0,0,8,6.394542241804694,40.8901704822246,1
0,0,9,4.634568296125665,21.47922329145315,1
0,0,10,8.327248685228842,48.56636967078853,2
0,0,11,7.007794066586602,24.56007748554131,2
0,0,12,4.758120376906652,22.6397095211343,1
0,0,13,32.75149166515021,214.6534423366803,6
0,0,14,9.685441137445647,64.33186683591859,2
0,0,15,11.52861249844462,65.07945594836663,3
0,0,16,8.40427520215216,35.61847826195201,2
0,0,17,3.114913697767873,9.702687344541923,1
0,0,18,8.941176309737383,34.06201972313533,3
0,0,19,0.5743830769308738,0.3299159190645781,1
0,0,20,3.31179414100076,10.96798043236696,1
0,0,21,5.711979198686734,32.62670636622995,1
0,0,22,1.054921088987421,1.112858503990406,1
0,0,23,10.86633975300103,57.83403621493233,3
0,0,24,0,0,0
0,0,25,0,0,0
0,0,26,16.24386900634252,133.0134551986686,2
0,0,27,8.067061249938892,27.0211919595875,3
0,0,28,7.015230928725094,17.89719189229286,3
0,0,29,7.876903412211037,49.01262854362601,2
0,1,0,1.024540872388708,0.559489929796715,2
0,1,1,6.103396553660355,37.2514494912331,1
0,1,2,4.235927864857169,9.161640494349497,2
0,1,3,0,0,0
0,1,4,2.530375225350275,6.402798781066453,1
0,1,5,3.815057658054718,14.55466493428195,1
0,1,6,8.650552321889053,41.54831588564094,2
0,1,7,3.320570785226813,11.02619033970182,1
0,1,8,0,0,0
0,1,9,0,0,0
0,1,10,3.80745955233995,8.819409869302186,2
0,1,11,13.29773422855799,64.50893724481936,3
0,1,12,6.913942869395514,26.53448161542648,2
0,1,13,18.82812667223222,104.3259183422637,5
0,1,14,10.02752749032968,57.06412648884729,3
0,1,15,13.166232801149,88.46074880392781,2
0,1,16,7.786294844553363,60.62638740631828,1
0,1,17,8.183540334795255,66.97033241122084,1
0,1,18,1.189455964785879,1.414805492164707,1
0,1,19,5.436379751660985,29.55422480426955,1
0,1,20,0.7522041621961633,0.5658111016252318,1
0,1,21,23.1239032116661,198.156887694306,3
0,1,22,0.1732182367230649,0.03000455753344775,1
